;;4;;8;
IN;OUT;IN;OUT;IN;OUT
5 356,8570861990;2,0963779163;21427,42834;8,385511665;42854,85669;16,77102333
5 367,8601427286;2,0602863768;21471,44057;8,241145507;42942,88114;16,48229101
5 378,6749559975;2,0248100177;21514,69982;8,099240071;43029,39965;16,19848014
5 389,3047465937;1,9899390131;21557,21899;7,959756052;43114,43797;15,9195121
5 399,7526800040;1,9556637050;21599,01072;7,82265482;43198,02144;15,64530964
5 410,0218675567;1,9219745985;21640,08747;7,687898394;43280,17494;15,37579679
5 420,1153673512;1,8888623568;21680,46147;7,555449427;43360,92294;15,11089885
5 429,9378220173;1,8566404622;21719,75129;7,426561849;43439,50258;14,8531237
5 439,6905950162;1,8246490070;21758,76238;7,298596028;43517,52476;14,59719206
5 449,2765153988;1,7932073969;21797,10606;7,172829587;43594,21212;14,34565917
5 458,6984377786;1,7623068800;21834,79375;7,04922752;43669,5875;14,09845504
5 467,9591679326;1,7319388404;21871,83667;6,927755362;43743,67334;13,85551072
5 477,0614636295;1,7020947935;21908,24585;6,808379174;43816,49171;13,61675835
5 486,0080354577;1,6727663822;21944,03214;6,691065529;43888,06428;13,38213106
5 494,8015476275;1,6439453732;21979,20619;6,575781493;43958,41238;13,15156299
5 503,4446187655;1,6156236529;22013,77848;6,462494612;44027,55695;12,92498922
5 511,9398226951;1,5877932241;22047,75929;6,351172896;44095,51858;12,70234579
5 520,2069017600;1,5607173054;22080,82761;6,242869222;44161,65521;12,48573844
5 528,4153336924;1,5338411978;22113,66133;6,135364791;44227,32267;12,27072958
5 536,4833344344;1,5074331301;22145,93334;6,02973252;44291,86668;12,05946504
5 544,4133065455;1,4814855360;22177,65323;5,925942144;44355,30645;11,85188429
5 552,2076114782;1,4559909498;22208,83045;5,823963799;44417,66089;11,6479276
5 559,8685702800;1,4309420031;22239,47428;5,723768012;44478,94856;11,44753602
5 567,3984642860;1,4063314231;22269,59386;5,625325692;44539,18771;11,25065138
5 574,7995357974;1,3821520292;22299,19814;5,528608117;44598,39629;11,05721623
5 582,0739887510;1,3583967312;22328,29596;5,433586925;44656,59191;10,86717385
5 589,2239893754;1,3350585273;22356,89596;5,340234109;44713,79192;10,68046822
5 596,1819886560;1,3123577738;22384,72795;5,249431095;44769,45591;10,49886219
5 603,0906277427;1,2898290943;22412,36251;5,159316377;44824,72502;10,31863275
5 609,8810729296;1,2676970789;22439,52429;5,070788316;44879,04858;10,14157663
5 616,5553462979;1,2459550583;22466,22139;4,983820233;44932,44277;9,967640466
5 623,1154353317;1,2245964426;22492,46174;4,89838577;44984,92348;9,796771541
5 629,5632935113;1,2036147197;22518,25317;4,814458879;45036,50635;9,628917758
5 635,9008408908;1,1830034545;22543,60336;4,732013818;45087,20673;9,464027636
5 642,1299646730;1,1627562873;22568,51986;4,651025149;45137,03972;9,302050298
5 648,2525197721;1,1428669331;22593,01008;4,571467733;45186,02016;9,142935465
5 654,2703293634;1,1233291809;22617,08132;4,493316724;45234,16263;8,986633447
5 660,1265406800;1,1043271251;22640,50616;4,4173085;45281,01233;8,834617001
5 665,9412078451;1,0854708702;22663,76483;4,341883481;45327,52966;8,683766961
5 671,6563968267;1,0669480786;22686,62559;4,267792315;45373,25117;8,535584629
5 677,2738094865;1,0487528272;22709,09524;4,195011309;45418,19048;8,390022617
5 682,7951185648;1,0308792634;22731,18047;4,123517054;45462,36095;8,247034107
5 688,2219681847;1,0133216058;22752,88787;4,053286423;45505,77575;8,106572846
5 693,5559743365;0,9960741433;22774,2239;3,984296573;45548,44779;7,968593146
5 698,7987253646;0,9791312354;22795,1949;3,916524942;45590,3898;7,833049883
5 703,9517824355;0,9624873121;22815,80713;3,849949248;45631,61426;7,699898497
5 709,0166800090;0,9461368739;22836,06672;3,784547496;45672,13344;7,569094991
5 713,9455678601;0,9302337075;22855,78227;3,72093483;45711,56454;7,44186966
5 718,8394896801;0,9144512229;22875,35796;3,657804892;45750,71592;7,315609783
5 723,6496851978;0,8989462020;22894,59874;3,595784808;45789,19748;7,191569616
5 728,3775867713;0,8837134282;22913,51035;3,534853713;45827,02069;7,069707426
5 733,0246022525;0,8687477568;22932,09841;3,474991027;45864,19682;6,949982055
5 737,5921154063;0,8540441150;22950,36846;3,41617646;45900,73692;6,83235292
5 742,0814863244;0,8395975023;22968,32595;3,358390009;45936,65189;6,716780019
5 746,4940518292;0,8254029911;22985,97621;3,301611964;45971,95241;6,603223929
5 750,8311258728;0,8114557268;23003,3245;3,245822907;46006,64901;6,491645815
5 755,0939999275;0,7977509287;23020,376;3,191003715;46040,752;6,382007429
5 759,2424008293;0,7844173987;23036,9696;3,137669595;46073,93921;6,27533919
5 763,3613720494;0,7711811787;23053,44549;3,084724715;46106,89098;6,16944943
5 767,4098744812;0,7581735740;23069,6395;3,032694296;46139,279;6,065388592
5 771,3891136695;0,7453901021;23085,55645;2,981560408;46171,11291;5,963120817
5 775,3002745389;0,7328263566;23101,2011;2,931305426;46202,4022;5,862610852
5 779,1445217403;0,7204780071;23116,57809;2,881912028;46233,15617;5,763824057
5 782,9230000025;0,7083408001;23131,692;2,8333632;46263,384;5,666726401
5 786,6368344714;0,6964105591;23146,54734;2,785642236;46293,09468;5,571284473
5 790,2871310441;0,6846831851;23161,14852;2,73873274;46322,29705;5,477465481
5 793,8749767021;0,6731546567;23175,49991;2,692618627;46350,99981;5,385237254
5 797,3664755788;0,6619334148;23189,4659;2,647733659;46378,9318;5,295467318
5 800,8332044710;0,6507889342;23203,33282;2,603155737;46406,66564;5,206311474
5 804,2406228544;0,6398317414;23216,96249;2,559326966;46433,92498;5,118653931
5 807,5897453952;0,6290581272;23230,35898;2,516232509;46460,71796;5,032465018
5 810,8815694010;0,6184644612;23243,52628;2,473857845;46487,05256;4,947715689
5 814,1170751203;0,6080471914;23256,4683;2,432188765;46512,9366;4,864377531
5 817,2972260339;0,5978028444;23269,1889;2,391211377;46538,37781;4,782422755
5 820,4229691417;0,5877280253;23281,69188;2,350912101;46563,38375;4,701824202
