val_out_4;val_out_3
9.971954346;20943.41992
9.800685883;20995.71289
9.632311821;21047.11133
9.466785431;21097.63086
9.304060936;21147.28516
9.14409256;21196.08984
8.986834526;21244.06055
8.833778381;21290.74219
8.681786537;21337.0918
8.532378197;21382.65039
8.385511398;21427.42773
8.241145134;21471.44141
8.099240303;21514.69922
7.959755898;21557.21875
7.822654724;21599.00977
7.687898159;21640.08789
7.555449486;21680.46094
7.426561832;21719.75195
7.298595905;21758.76172
7.172829628;21797.10547
7.049227715;21834.79297
6.927755356;21871.83594
6.808379173;21908.24609
6.691065311;21944.03125
6.575781345;21979.20703
6.462494373;22013.7793
6.351172924;22047.75977
6.242869377;22080.82812
6.135365009;22113.66211
6.029732704;22145.93359
5.925941944;22177.65234
5.823963642;22208.83008
5.723768234;22239.47461
5.62532568;22269.59375
5.528608322;22299.19727
5.433587074;22328.29688
5.34023428;22356.89648
5.249431133;22384.72852
5.15931654;22412.36328
5.070788383;22439.52344
4.983820438;22466.2207
4.898386002;22492.46094
4.814458847;22518.25391
4.732013702;22543.60352
4.651025295;22568.51953
4.571467876;22593.00977
4.49331665;22617.08203
4.417308331;22640.50586
4.341883659;22663.76562
4.267792225;22686.625
4.195011139;22709.0957
4.123517036;22731.17969
4.053286552;22752.88867
3.98429656;22774.22461
3.916524887;22795.19531
3.84994936;22815.80664
3.784547567;22836.06641
3.720934868;22855.7832
3.657804966;22875.35742
3.595784903;22894.59961
3.534853697;22913.50977
3.474991083;22932.09766
3.416176558;22950.36914
3.358390093;22968.32617
3.3016119;22985.97656
3.245822906;23003.32422
3.191003799;23020.37695
3.137669563;23036.96875
3.084724665;23053.44531
3.03269434;23069.63867
2.981560469;23085.55664
2.931305408;23101.20117
2.881911993;23116.57812
2.833363295;23131.69141
2.785642147;23146.54688
2.738732815;23161.14844
2.692618608;23175.5
2.647733688;23189.4668
2.603155851;23203.33203
2.559326887;23216.96289
2.516232491;23230.35938
2.47385788;23243.52539
2.432188749;23256.46875
2.391211271;23269.18945
2.350912094;23281.69141
2.311277628;23293.98047
2.272295237;23306.06055
2.234332085;23317.81445
2.196609497;23329.48438
2.159502029;23340.95703
2.122997761;23352.23242
2.087085247;23363.31445
2.051753521;23374.20703
2.016991615;23384.91211
1.982789278;23395.43555
1.949136019;23405.7793
1.916022062;23415.94531
1.88376081;23425.83789
1.851691246;23435.66211
1.820132852;23445.31641
1.789076805;23454.80664
1.758514404;23464.13281
1.728437424;23473.30078
1.698837757;23482.3125
1.669707537;23491.16797
1.641039252;23499.87305
1.612825513;23508.42969
1.585334778;23516.75586
1.558004737;23525.02344
1.531108618;23533.15039
1.504640102;23541.13672
1.478592634;23548.98633
1.452960491;23556.70312
1.427737474;23564.28711
1.4029181;23571.74219
1.378496647;23579.06836
1.354467988;23586.26953
1.331061244;23593.27734
1.307798505;23600.23633
1.284913301;23607.07422
1.262400746;23613.79688
1.240256429;23620.4043
1.218475461;23626.89844
1.197053671;23633.28125
1.175986528;23639.55469
1.15526998;23645.72266
1.134899855;23651.7832
1.115070581;23657.68164
1.095377803;23663.53711
1.076019406;23669.29492
1.056991577;23674.95117
1.03829062;23680.51172
1.019912601;23685.97852
1.001854062;23691.35156
0.9841110706;23696.63086
0.9666801691;23701.82227
0.949557662;23706.92188
0.9329066277;23711.88672
0.9163871408;23716.81641
0.900165379;23721.66016
0.8842376471;23726.42188
0.8686004877;23731.10352
0.8532502651;23735.70312
0.8381834626;23740.22461
0.8233964443;23744.66992
0.8088856339;23749.03711
0.794647336;23753.33008
0.7808163762;23757.50977
0.7671096921;23761.6582
0.7536646724;23765.73633
0.740477562;23769.74414
0.7275446057;23773.68359
0.7148621678;23777.55469
0.7024263144;23781.35938
0.6902333498;23785.10156
0.6782793999;23788.77734
0.6665605307;23792.39062
0.6551867127;23795.9082
0.6439242363;23799.39844
0.6328851581;23802.83203
0.6220655441;23806.20508
0.611461401;23809.51953
0.6010687351;23812.7793
0.5908834338;23815.98242
0.5809015632;23819.13086
0.5711189508;23822.22461
0.5615316033;23825.26562
0.5522284508;23828.22656
0.5430175066;23831.16406
0.5339895487;23834.05273
0.5251405239;23836.89258
0.5164663196;23839.68359
0.5079628825;23842.42578
0.4996261597;23845.12109
0.4914520383;23847.77148
0.4834364951;23850.375
0.4755755365;23852.93555
0.4679415226;23855.42578
0.4603763223;23857.90039
0.4529538453;23860.33203
0.4456702173;23862.7207
0.438521564;23865.07031
0.4315041006;23867.37891
0.4246140718;23869.64648
0.4178477526;23871.87695
0.4112015069;23874.06836
0.4046717584;23876.22461
0.3983186185;23878.32031
0.3920102715;23880.40234
0.3858080804;23882.44922
0.3797087669;23884.45898
0.3737090528;23886.43555
0.367805779;23888.37891
0.3619959056;23890.28906
0.3562763929;23892.16602
0.3506444097;23894.00977
0.3450970948;23895.82422
0.3396860361;23897.58789
0.3342992365;23899.33984
0.3289892972;23901.0625
0.3237537742;23902.75586
0.3185903132;23904.41992
0.3134966791;23906.05469
0.3084707856;23907.66211
0.3035105169;23909.24219
0.2986140251;23910.79492
0.2937794328;23912.32031
0.2890524864;23913.80469
0.2843360603;23915.2793
0.2796767056;23916.73047
0.275072962;23918.1543
0.2705235183;23919.55469
0.2660271525;23920.93164
0.2615827322;23922.2832
0.2571892142;23923.61328
0.252845645;23924.91992
0.2485512197;23926.20508
0.2443473786;23927.45508
0.2401485145;23928.69531
0.2359967679;23929.91602
0.2318916321;23931.11523
0.2278326601;23932.29297
0.223819524;23933.45117
0.2198519409;23934.58984
0.2159297019;23935.70898
0.212052688;23936.80859
0.2082207948;23937.89062
0.2044716775;23938.94141
0.2007296234;23939.98633
0.1970328242;23941.01367
0.1933814287;23942.02148
0.1897756159;23943.01367
0.1862156093;23943.98828
0.1827016771;23944.94727
0.1792341173;23945.88867
0.1758132577;23946.81445
0.1724394262;23947.72461
0.169146046;23948.60938
0.1658669561;23949.48828
0.1626360565;23950.35352
0.1594537497;23951.20312
0.1563204527;23952.03711
0.1532365829;23952.85742
0.1502025425;23953.66406
0.147218734;23954.45703
0.1442855448;23955.23633
0.1414033473;23956.00195
0.138600558;23956.74805
0.1358208954;23957.48633
0.1330932379;23958.21484
0.1304178685;23958.92969
0.1277950555;23959.63281
0.1252250075;23960.32227
0.1227079332;23961.00195
0.120243974;23961.66797
0.1178332418;23962.32422
0.1154758036;23962.96875
0.1131944656;23963.5957
0.1109431311;23964.21875
0.1087450236;23964.83008
0.1066000387;23965.43164
0.1045080051;23966.02344
0.1024687141;23966.60547
0.1004818901;23967.17578
0.09854722023;23967.73828
0.09666431695;23968.28906
0.09483277053;23968.83203
0.09306964278;23969.36133
0.09133879095;23969.88477
0.08965770155;23970.40039
0.08802572638;23970.90625
0.08644218743;23971.4043
0.08490633219;23971.89258
0.08341738582;23972.375
