IN;OUT
41221,13992;22,12241236
41337,11452;21,74311374
41451,10498;21,37021002
41562,0344;21,00723052
41672,17686;20,64673925
41780,43497;20,29233198
41886,84096;19,94390871
41991,42651;19,60137139
42094,22279;19,26462381
42195,26039;18,9335716
42294,56941;18,60812217
42392,17942;18,28818466
42488,11949;17,9736699
42581,48324;17,66755602
42674,18464;17,36357368
42765,30008;17,06475708
42854,85669;16,77102333
42942,88114;16,48229101
43029,39965;16,19848014
43114,43797;15,9195121
43198,02144;15,64530964
43280,17494;15,37579679
43360,92294;15,11089885
43439,50258;14,8531237
43517,52476;14,59719206
43594,21212;14,34565917
43669,5875;14,09845504
43743,67334;13,85551072
43816,49171;13,61675835
43888,06428;13,38213106
43958,41238;13,15156299
44027,55695;12,92498922
44095,51858;12,70234579
44161,65521;12,48573844
44227,32267;12,27072958
44291,86668;12,05946504
44355,30645;11,85188429
44417,66089;11,6479276
44478,94856;11,44753602
44539,18771;11,25065138
44598,39629;11,05721623
44656,59191;10,86717385
44713,79192;10,68046822
44769,45591;10,49886219
44824,72502;10,31863275
44879,04858;10,14157663
44932,44277;9,967640466
44984,92348;9,796771541
45036,50635;9,628917758
45087,20673;9,464027636
45137,03972;9,302050298
45186,02016;9,142935465
45234,16263;8,986633447
45281,01233;8,834617001
45327,52966;8,683766961
45373,25117;8,535584629
45418,19048;8,390022617
45462,36095;8,247034107
45505,77575;8,106572846
45548,44779;7,968593146
45590,3898;7,833049883
45631,61426;7,699898497
45672,13344;7,569094991
45711,56454;7,44186966
45750,71592;7,315609783
45789,19748;7,191569616
45827,02069;7,069707426
45864,19682;6,949982055
45900,73692;6,83235292
45936,65189;6,716780019
45971,95241;6,603223929
46006,64901;6,491645815
46040,752;6,382007429
46073,93921;6,27533919
46106,89098;6,16944943
46139,279;6,065388592
46171,11291;5,963120817
46202,4022;5,862610852
46233,15617;5,763824057
46263,384;5,666726401
46293,09468;5,571284473
46322,29705;5,477465481
46350,99981;5,385237254
46378,9318;5,295467318
46406,66564;5,206311474
46433,92498;5,118653931
46460,71796;5,032465018
46487,05256;4,947715689
46512,9366;4,864377531
46538,37781;4,782422755
46563,38375;4,701824202
46587,96188;4,622555339
46612,11951;4,544590255
